id,required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills,degree_encoded,skill_match_ratio,candidate_coverage,required_skill_count,skills_text
FIT0013,"Docker, Flask, GraphQL, Hadoop, Kubernetes, NumPy, PyTorch, Spark","Django, GCP, Hadoop, Pandas",Masters,7.6,1.0,1,0.538,"Docker, Flask, GraphQL, Kubernetes, NumPy, PyTorch, Spark",1.0,0.125,0.25,8.0,"Docker, Flask, GraphQL, Hadoop, Kubernetes, NumPy, PyTorch, Spark Django, GCP, Hadoop, Pandas"
FIT0014,"Azure, Flask, Linux, NumPy, Power BI, Python, TensorFlow","Django, Flask, Git, Pandas, R, REST, TensorFlow",Bachelors,5.4,2.0,0,0.512,"Azure, Linux, NumPy, Power BI, Python",0.0,0.2857142857142857,0.2857142857142857,7.0,"Azure, Flask, Linux, NumPy, Power BI, Python, TensorFlow Django, Flask, Git, Pandas, R, REST, TensorFlow"
FIT0015,"ETL, Excel, Git, JavaScript, Kubernetes, Power BI, REST","CI/CD, Django, Git, Hadoop, R, REST, Spark, Tableau, TensorFlow, TypeScript",Bachelors,5.1,2.0,0,0.503,"ETL, Excel, JavaScript, Kubernetes, Power BI",0.0,0.2857142857142857,0.2,7.0,"ETL, Excel, Git, JavaScript, Kubernetes, Power BI, REST CI/CD, Django, Git, Hadoop, R, REST, Spark, Tableau, TensorFlow, TypeScript"
FIT0016,"Airflow, Flask, Java, Pandas, Python, REST",,Masters,3.5,3.0,0,0.657,"Java, Pandas, Python",1.0,0.0,0.0,6.0,"Airflow, Flask, Java, Pandas, Python, REST "
FIT0017,"Azure, Docker, ETL, JavaScript, PyTorch, SQL, TensorFlow","ETL, Excel, Flask, GraphQL, JavaScript, Linux, PyTorch, React, Tableau",Bachelors,5.8,3.0,0,0.624,"Azure, Docker, SQL, TensorFlow",0.0,0.42857142857142855,0.3333333333333333,7.0,"Azure, Docker, ETL, JavaScript, PyTorch, SQL, TensorFlow ETL, Excel, Flask, GraphQL, JavaScript, Linux, PyTorch, React, Tableau"
FIT0018,"AWS, Azure, Docker, GraphQL, Java, Kubernetes","ETL, GraphQL, NumPy, Pandas, Python, Spark",Masters,1.0,1.0,0,0.34,"AWS, Azure, Docker, Java, Kubernetes",1.0,0.16666666666666666,0.16666666666666666,6.0,"AWS, Azure, Docker, GraphQL, Java, Kubernetes ETL, GraphQL, NumPy, Pandas, Python, Spark"
FIT0019,"ETL, GraphQL, Java, NumPy, TypeScript","ETL, Hadoop, Linux, PyTorch, REST, SQL, Scikit-learn, TypeScript",Bachelors,4.9,2.0,0,0.497,"GraphQL, Java, NumPy",0.0,0.4,0.25,5.0,"ETL, GraphQL, Java, NumPy, TypeScript ETL, Hadoop, Linux, PyTorch, REST, SQL, Scikit-learn, TypeScript"
FIT0020,"Azure, Docker, ETL, Hadoop, JavaScript, REST, Spark, TypeScript",,Bachelors,0.0,1.0,0,0.25,,0.0,0.0,0.0,8.0,"Azure, Docker, ETL, Hadoop, JavaScript, REST, Spark, TypeScript "
FIT0021,"AWS, ETL, GCP, Kubernetes, Tableau","AWS, Airflow, Django, Excel, Git, PyTorch, REST, Spark",Bachelors,2.4,1.0,0,0.322,"ETL, GCP, Kubernetes, Tableau",0.0,0.2,0.125,5.0,"AWS, ETL, GCP, Kubernetes, Tableau AWS, Airflow, Django, Excel, Git, PyTorch, REST, Spark"
FIT0022,"CI/CD, Flask, GraphQL, Hadoop, JavaScript, Kubernetes, Linux, SQL","Hadoop, React, Spark, Tableau",Bachelors,4.4,1.0,0,0.382,"CI/CD, Flask, GraphQL, JavaScript, Kubernetes, Linux, SQL",0.0,0.125,0.25,8.0,"CI/CD, Flask, GraphQL, Hadoop, JavaScript, Kubernetes, Linux, SQL Hadoop, React, Spark, Tableau"
FIT0023,"Docker, JavaScript, Tableau, TensorFlow, TypeScript","Django, Git, Hadoop, NumPy, Pandas, Power BI, SQL, Spark",Bachelors,3.7,0.0,0,0.261,"Docker, JavaScript, Tableau, TensorFlow, TypeScript",0.0,0.0,0.0,5.0,"Docker, JavaScript, Tableau, TensorFlow, TypeScript Django, Git, Hadoop, NumPy, Pandas, Power BI, SQL, Spark"
FIT0024,"ETL, Hadoop, Kubernetes, Linux, Node.js, NumPy","AWS, Azure, Git, Linux, Node.js, Power BI, PyTorch, R, React",Bachelors,4.3,2.0,0,0.479,"ETL, Hadoop, Kubernetes, NumPy",0.0,0.3333333333333333,0.2222222222222222,6.0,"ETL, Hadoop, Kubernetes, Linux, Node.js, NumPy AWS, Azure, Git, Linux, Node.js, Power BI, PyTorch, R, React"
FIT0025,"AWS, Azure, Docker, ETL, Git, GraphQL, NumPy, TypeScript","Flask, Java, Linux, Power BI, PyTorch, React, Spark",Bachelors,0.6,0.0,0,0.168,"AWS, Azure, Docker, ETL, Git, GraphQL, NumPy, TypeScript",0.0,0.0,0.0,8.0,"AWS, Azure, Docker, ETL, Git, GraphQL, NumPy, TypeScript Flask, Java, Linux, Power BI, PyTorch, React, Spark"
FIT0026,"Docker, GCP, Linux, Power BI, TensorFlow","Excel, GCP, GraphQL, Hadoop, Java, Linux, Pandas, REST, Tableau, TypeScript",Masters,3.7,2.0,0,0.521,"Docker, Power BI, TensorFlow",1.0,0.4,0.2,5.0,"Docker, GCP, Linux, Power BI, TensorFlow Excel, GCP, GraphQL, Hadoop, Java, Linux, Pandas, REST, Tableau, TypeScript"
FIT0027,"Airflow, CI/CD, Flask, Linux, Python, Tableau, TypeScript","AWS, Django, Flask, Java, Kubernetes, Power BI, PyTorch, SQL",Bachelors,5.3,1.0,0,0.409,"Airflow, CI/CD, Linux, Python, Tableau, TypeScript",0.0,0.14285714285714285,0.125,7.0,"Airflow, CI/CD, Flask, Linux, Python, Tableau, TypeScript AWS, Django, Flask, Java, Kubernetes, Power BI, PyTorch, SQL"
FIT0028,"Airflow, Java, NumPy, R, REST, Scikit-learn, TensorFlow","Airflow, Docker, ETL, REST, React, Tableau, TypeScript",Bachelors,4.8,2.0,1,0.494,"Java, NumPy, R, Scikit-learn, TensorFlow",0.0,0.2857142857142857,0.2857142857142857,7.0,"Airflow, Java, NumPy, R, REST, Scikit-learn, TensorFlow Airflow, Docker, ETL, REST, React, Tableau, TypeScript"
FIT0029,"Django, ETL, Git, Hadoop, Linux, React, Spark","CI/CD, Java, JavaScript, Node.js",Bachelors,6.0,0.0,1,0.33,"Django, ETL, Git, Hadoop, Linux, React, Spark",0.0,0.0,0.0,7.0,"Django, ETL, Git, Hadoop, Linux, React, Spark CI/CD, Java, JavaScript, Node.js"
FIT0030,"AWS, Excel, Flask, JavaScript, TensorFlow","Airflow, CI/CD, Django, Flask, GraphQL, Node.js, NumPy, REST, SQL",Bachelors,4.0,1.0,0,0.37,"AWS, Excel, JavaScript, TensorFlow",0.0,0.2,0.1111111111111111,5.0,"AWS, Excel, Flask, JavaScript, TensorFlow Airflow, CI/CD, Django, Flask, GraphQL, Node.js, NumPy, REST, SQL"
FIT0031,"AWS, Airflow, ETL, Excel, GCP, React, Spark, Tableau","Airflow, Azure, Django, ETL, Flask, GCP, Hadoop, JavaScript, Node.js, SQL",Bachelors,6.2,3.0,1,0.636,"AWS, Excel, React, Spark, Tableau",0.0,0.375,0.3,8.0,"AWS, Airflow, ETL, Excel, GCP, React, Spark, Tableau Airflow, Azure, Django, ETL, Flask, GCP, Hadoop, JavaScript, Node.js, SQL"
FIT0032,"AWS, Git, Java, Node.js, NumPy, Pandas, R","Azure, GraphQL, Java, TypeScript",Masters,3.6,1.0,0,0.418,"AWS, Git, Node.js, NumPy, Pandas, R",1.0,0.14285714285714285,0.25,7.0,"AWS, Git, Java, Node.js, NumPy, Pandas, R Azure, GraphQL, Java, TypeScript"
FIT0033,"Airflow, Excel, NumPy, Power BI, REST","AWS, CI/CD, Git, Linux, R, REST, SQL",Bachelors,2.8,1.0,1,0.334,"Airflow, Excel, NumPy, Power BI",0.0,0.2,0.14285714285714285,5.0,"Airflow, Excel, NumPy, Power BI, REST AWS, CI/CD, Git, Linux, R, REST, SQL"
FIT0034,"Azure, ETL, Flask, Python, Scikit-learn, Spark, Tableau, TensorFlow","AWS, Airflow, CI/CD, Git, Hadoop, Java, Power BI",Masters,2.6,0.0,0,0.288,"Azure, ETL, Flask, Python, Scikit-learn, Spark, Tableau, TensorFlow",1.0,0.0,0.0,8.0,"Azure, ETL, Flask, Python, Scikit-learn, Spark, Tableau, TensorFlow AWS, Airflow, CI/CD, Git, Hadoop, Java, Power BI"
FIT0035,"Airflow, Docker, Excel, Hadoop, SQL","Airflow, Excel, GCP, Linux, React, SQL",Bachelors,2.0,3.0,0,0.51,"Docker, Hadoop",0.0,0.6,0.5,5.0,"Airflow, Docker, Excel, Hadoop, SQL Airflow, Excel, GCP, Linux, React, SQL"
FIT0036,"GCP, Git, Hadoop, Node.js, NumPy, Pandas, Power BI, Tableau","GCP, JavaScript, Kubernetes, Python, REST, Scikit-learn, Spark",Masters,2.8,1.0,1,0.394,"Git, Hadoop, Node.js, NumPy, Pandas, Power BI, Tableau",1.0,0.125,0.14285714285714285,8.0,"GCP, Git, Hadoop, Node.js, NumPy, Pandas, Power BI, Tableau GCP, JavaScript, Kubernetes, Python, REST, Scikit-learn, Spark"
FIT0038,"GCP, GraphQL, NumPy, Power BI, R, Spark, TensorFlow","AWS, Azure, CI/CD, ETL, Excel, JavaScript, Pandas, PyTorch, Scikit-learn, Spark",Bachelors,3.4,1.0,0,0.352,"GCP, GraphQL, NumPy, Power BI, R, TensorFlow",0.0,0.14285714285714285,0.1,7.0,"GCP, GraphQL, NumPy, Power BI, R, Spark, TensorFlow AWS, Azure, CI/CD, ETL, Excel, JavaScript, Pandas, PyTorch, Scikit-learn, Spark"
FIT0039,"Azure, GraphQL, JavaScript, Node.js, SQL","AWS, ETL, GraphQL, R, TensorFlow",Bachelors,5.0,1.0,1,0.4,"Azure, JavaScript, Node.js, SQL",0.0,0.2,0.2,5.0,"Azure, GraphQL, JavaScript, Node.js, SQL AWS, ETL, GraphQL, R, TensorFlow"
FIT0040,"Django, Hadoop, Node.js, R, React, Spark",,Bachelors,4.6,1.0,1,0.388,"Hadoop, Node.js, R, React, Spark",0.0,0.0,0.0,6.0,"Django, Hadoop, Node.js, R, React, Spark "
FIT0041,"CI/CD, Excel, Java, JavaScript, Linux, Pandas, R","Azure, GCP, NumPy, REST, React, TypeScript",Bachelors,7.3,0.0,1,0.369,"CI/CD, Excel, Java, JavaScript, Linux, Pandas, R",0.0,0.0,0.0,7.0,"CI/CD, Excel, Java, JavaScript, Linux, Pandas, R Azure, GCP, NumPy, REST, React, TypeScript"
FIT0042,"Hadoop, Node.js, PyTorch, SQL, TensorFlow","CI/CD, Django, Docker, GraphQL, PyTorch, React",Bachelors,6.9,1.0,1,0.457,"Hadoop, Node.js, SQL, TensorFlow",0.0,0.2,0.16666666666666666,5.0,"Hadoop, Node.js, PyTorch, SQL, TensorFlow CI/CD, Django, Docker, GraphQL, PyTorch, React"
FIT0044,"Django, Git, GraphQL, Linux, Node.js","Git, Hadoop, Linux, Tableau",Bachelors,2.9,2.0,1,0.437,"Django, GraphQL, Node.js",0.0,0.4,0.5,5.0,"Django, Git, GraphQL, Linux, Node.js Git, Hadoop, Linux, Tableau"
FIT0045,"GCP, Git, GraphQL, Java, JavaScript, Kubernetes, R, Scikit-learn","Airflow, Azure, Flask, Git, GraphQL, Linux, Pandas, Spark, TensorFlow",Bachelors,4.8,2.0,1,0.494,"GCP, Java, JavaScript, Kubernetes, R, Scikit-learn",0.0,0.25,0.2222222222222222,8.0,"GCP, Git, GraphQL, Java, JavaScript, Kubernetes, R, Scikit-learn Airflow, Azure, Flask, Git, GraphQL, Linux, Pandas, Spark, TensorFlow"
FIT0046,"AWS, Airflow, CI/CD, JavaScript, Spark","Airflow, Docker, JavaScript, Pandas, R, REST",Masters,6.7,2.0,1,0.611,"AWS, CI/CD, Spark",1.0,0.4,0.3333333333333333,5.0,"AWS, Airflow, CI/CD, JavaScript, Spark Airflow, Docker, JavaScript, Pandas, R, REST"
FIT0047,"AWS, ETL, JavaScript, Pandas, TypeScript","GraphQL, REST, React, Scikit-learn, Tableau",Bachelors,3.1,0.0,0,0.243,"AWS, ETL, JavaScript, Pandas, TypeScript",0.0,0.0,0.0,5.0,"AWS, ETL, JavaScript, Pandas, TypeScript GraphQL, REST, React, Scikit-learn, Tableau"
FIT0048,"AWS, Git, Python, R, SQL, Scikit-learn, Tableau","Excel, Flask, Git, Kubernetes, R",Masters,0.6,2.0,0,0.428,"AWS, Python, SQL, Scikit-learn, Tableau",1.0,0.2857142857142857,0.4,7.0,"AWS, Git, Python, R, SQL, Scikit-learn, Tableau Excel, Flask, Git, Kubernetes, R"
FIT0049,"Excel, GraphQL, Node.js, Pandas, PyTorch, TensorFlow","ETL, Excel, GCP, Git, Hadoop, JavaScript, Python, REST, SQL",Bachelors,1.8,1.0,1,0.304,"GraphQL, Node.js, Pandas, PyTorch, TensorFlow",0.0,0.16666666666666666,0.1111111111111111,6.0,"Excel, GraphQL, Node.js, Pandas, PyTorch, TensorFlow ETL, Excel, GCP, Git, Hadoop, JavaScript, Python, REST, SQL"
FIT0050,"Git, Java, React, Spark, TypeScript","Flask, GCP, JavaScript, Linux, Node.js, PyTorch, React, Spark",PhD,1.9,2.0,1,0.467,"Git, Java, TypeScript",2.0,0.4,0.25,5.0,"Git, Java, React, Spark, TypeScript Flask, GCP, JavaScript, Linux, Node.js, PyTorch, React, Spark"
FIT0051,"Airflow, Flask, GraphQL, Java, Node.js, PyTorch, R","CI/CD, Django, Hadoop, Java, Pandas, React",Masters,4.0,1.0,1,0.43,"Airflow, Flask, GraphQL, Node.js, PyTorch, R",1.0,0.14285714285714285,0.16666666666666666,7.0,"Airflow, Flask, GraphQL, Java, Node.js, PyTorch, R CI/CD, Django, Hadoop, Java, Pandas, React"
FIT0052,"Docker, GCP, GraphQL, Java, Power BI, REST, Scikit-learn","Excel, Git, Tableau, TypeScript",PhD,2.7,,0,0.291,"Docker, GCP, GraphQL, Java, Power BI, REST, Scikit-learn",2.0,0.0,0.0,7.0,"Docker, GCP, GraphQL, Java, Power BI, REST, Scikit-learn Excel, Git, Tableau, TypeScript"
FIT0053,"Azure, CI/CD, Django, Excel, Git, SQL","Azure, CI/CD, Excel, GraphQL, JavaScript, SQL",Bachelors,6.3,4.0,1,0.739,"Django, Git",0.0,0.6666666666666666,0.6666666666666666,6.0,"Azure, CI/CD, Django, Excel, Git, SQL Azure, CI/CD, Excel, GraphQL, JavaScript, SQL"
FIT0054,"AWS, GCP, NumPy, Pandas, React","Azure, ETL, Excel, Power BI, Scikit-learn, Spark, TensorFlow",Bachelors,1.7,0.0,0,0.201,"AWS, GCP, NumPy, Pandas, React",0.0,0.0,0.0,5.0,"AWS, GCP, NumPy, Pandas, React Azure, ETL, Excel, Power BI, Scikit-learn, Spark, TensorFlow"
FIT0055,"AWS, Azure, CI/CD, ETL, Kubernetes, REST, TensorFlow, TypeScript","Azure, Django, Node.js, React, Tableau",Bachelors,4.9,1.0,0,0.397,"AWS, CI/CD, ETL, Kubernetes, REST, TensorFlow, TypeScript",0.0,0.125,0.2,8.0,"AWS, Azure, CI/CD, ETL, Kubernetes, REST, TensorFlow, TypeScript Azure, Django, Node.js, React, Tableau"
FIT0056,"Airflow, CI/CD, Git, JavaScript, Node.js, Scikit-learn, Tableau","Django, Git, Node.js, Scikit-learn, Tableau",Masters,3.5,4.0,1,0.691,"Airflow, CI/CD, JavaScript",1.0,0.5714285714285714,0.8,7.0,"Airflow, CI/CD, Git, JavaScript, Node.js, Scikit-learn, Tableau Django, Git, Node.js, Scikit-learn, Tableau"
FIT0057,"CI/CD, ETL, GraphQL, R, REST","Airflow, CI/CD, Flask, GCP, Node.js, Tableau",Bachelors,4.4,1.0,0,0.382,"ETL, GraphQL, R, REST",0.0,0.2,0.16666666666666666,5.0,"CI/CD, ETL, GraphQL, R, REST Airflow, CI/CD, Flask, GCP, Node.js, Tableau"
FIT0058,"Docker, Git, Linux, Power BI, Python, Scikit-learn","AWS, GraphQL, Hadoop, Kubernetes, Power BI, REST, SQL, Spark, Tableau",Bachelors,0.8,1.0,1,0.274,"Docker, Git, Linux, Python, Scikit-learn",0.0,0.16666666666666666,0.1111111111111111,6.0,"Docker, Git, Linux, Power BI, Python, Scikit-learn AWS, GraphQL, Hadoop, Kubernetes, Power BI, REST, SQL, Spark, Tableau"
FIT0059,"GraphQL, NumPy, Python, React, Scikit-learn","Azure, Docker, Excel, R, SQL, Scikit-learn",Masters,6.4,1.0,1,0.502,"GraphQL, NumPy, Python, React",1.0,0.2,0.16666666666666666,5.0,"GraphQL, NumPy, Python, React, Scikit-learn Azure, Docker, Excel, R, SQL, Scikit-learn"
FIT0060,"Azure, Docker, JavaScript, Kubernetes, Pandas, PyTorch, SQL, TensorFlow","AWS, ETL, Hadoop, Node.js, R",Bachelors,3.6,0.0,0,0.258,"Azure, Docker, JavaScript, Kubernetes, Pandas, PyTorch, SQL, TensorFlow",0.0,0.0,0.0,8.0,"Azure, Docker, JavaScript, Kubernetes, Pandas, PyTorch, SQL, TensorFlow AWS, ETL, Hadoop, Node.js, R"
FIT0061,"AWS, Airflow, CI/CD, Excel, Git, NumPy","GraphQL, R, Spark, TypeScript",Bachelors,6.1,0.0,1,0.333,"AWS, Airflow, CI/CD, Excel, Git, NumPy",0.0,0.0,0.0,6.0,"AWS, Airflow, CI/CD, Excel, Git, NumPy GraphQL, R, Spark, TypeScript"
FIT0062,"AWS, Git, GraphQL, Linux, Node.js, Python, R","CI/CD, Docker, Flask, Hadoop, Java, Power BI, PyTorch, REST, SQL, Spark",Bachelors,5.5,0.0,0,0.315,"AWS, Git, GraphQL, Linux, Node.js, Python, R",0.0,0.0,0.0,7.0,"AWS, Git, GraphQL, Linux, Node.js, Python, R CI/CD, Docker, Flask, Hadoop, Java, Power BI, PyTorch, REST, SQL, Spark"
FIT0063,"GCP, JavaScript, Linux, Python, R, Scikit-learn, Spark","Git, Kubernetes, Node.js, NumPy, React",PhD,2.8,0.0,0,0.294,"GCP, JavaScript, Linux, Python, R, Scikit-learn, Spark",2.0,0.0,0.0,7.0,"GCP, JavaScript, Linux, Python, R, Scikit-learn, Spark Git, Kubernetes, Node.js, NumPy, React"
FIT0064,"Airflow, CI/CD, Hadoop, Kubernetes, Linux, Power BI, Tableau, TensorFlow","Django, Docker, GCP, Git, Hadoop, JavaScript, NumPy, Pandas, Python, Spark",Bachelors,5.9,1.0,0,0.427,"Airflow, CI/CD, Kubernetes, Linux, Power BI, Tableau, TensorFlow",0.0,0.125,0.1,8.0,"Airflow, CI/CD, Hadoop, Kubernetes, Linux, Power BI, Tableau, TensorFlow Django, Docker, GCP, Git, Hadoop, JavaScript, NumPy, Pandas, Python, Spark"
FIT0065,"AWS, GCP, GraphQL, Kubernetes, Linux, NumPy","Git, JavaScript, Power BI, Python, REST, SQL, TensorFlow",Masters,1.1,0.0,0,0.243,"AWS, GCP, GraphQL, Kubernetes, Linux, NumPy",1.0,0.0,0.0,6.0,"AWS, GCP, GraphQL, Kubernetes, Linux, NumPy Git, JavaScript, Power BI, Python, REST, SQL, TensorFlow"
FIT0066,"Docker, ETL, Java, Node.js, Pandas","Azure, Hadoop, Kubernetes, R",Masters,5.9,0.0,0,0.387,"Docker, ETL, Java, Node.js, Pandas",1.0,0.0,0.0,5.0,"Docker, ETL, Java, Node.js, Pandas Azure, Hadoop, Kubernetes, R"
FIT0067,"CI/CD, Git, GraphQL, JavaScript, Linux, Python","AWS, Airflow, CI/CD, JavaScript",Bachelors,3.5,2.0,0,0.458,"Git, GraphQL, Linux, Python",0.0,0.3333333333333333,0.5,6.0,"CI/CD, Git, GraphQL, JavaScript, Linux, Python AWS, Airflow, CI/CD, JavaScript"
FIT0068,"Airflow, Flask, Hadoop, Python, Tableau","Airflow, Docker, GCP, JavaScript, Kubernetes, NumPy, Pandas, Python, React",Bachelors,5.0,2.0,1,0.5,"Flask, Hadoop, Tableau",0.0,0.4,0.2222222222222222,5.0,"Airflow, Flask, Hadoop, Python, Tableau Airflow, Docker, GCP, JavaScript, Kubernetes, NumPy, Pandas, Python, React"
FIT0069,"Docker, Flask, Hadoop, Linux, Node.js, R","AWS, Azure, CI/CD, Docker, GCP, Hadoop, Python, REST",Bachelors,4.3,2.0,0,0.479,"Flask, Linux, Node.js, R",0.0,0.3333333333333333,0.25,6.0,"Docker, Flask, Hadoop, Linux, Node.js, R AWS, Azure, CI/CD, Docker, GCP, Hadoop, Python, REST"
FIT0070,"AWS, Flask, Power BI, Python, REST, SQL","GraphQL, JavaScript, PyTorch, R, Spark",PhD,3.3,0.0,1,0.309,"AWS, Flask, Power BI, Python, REST, SQL",2.0,0.0,0.0,6.0,"AWS, Flask, Power BI, Python, REST, SQL GraphQL, JavaScript, PyTorch, R, Spark"
FIT0071,"Azure, Docker, Hadoop, Pandas, Python, Spark, Tableau, TypeScript","Azure, Docker, Flask, Java, NumPy, Power BI, Python, Tableau, TensorFlow",Bachelors,7.2,4.0,1,0.766,"Hadoop, Pandas, Spark, TypeScript",0.0,0.5,0.4444444444444444,8.0,"Azure, Docker, Hadoop, Pandas, Python, Spark, Tableau, TypeScript Azure, Docker, Flask, Java, NumPy, Power BI, Python, Tableau, TensorFlow"
FIT0072,"ETL, Kubernetes, Linux, Pandas, TypeScript","Excel, Hadoop, Node.js, REST, Scikit-learn, Spark, Tableau",Bachelors,3.3,0.0,0,0.249,"ETL, Kubernetes, Linux, Pandas, TypeScript",0.0,0.0,0.0,5.0,"ETL, Kubernetes, Linux, Pandas, TypeScript Excel, Hadoop, Node.js, REST, Scikit-learn, Spark, Tableau"
FIT0073,"CI/CD, Flask, Git, GraphQL, Spark","Azure, CI/CD, Kubernetes, Node.js, Power BI, PyTorch, Python, TypeScript",Masters,2.1,1.0,0,0.373,"Flask, Git, GraphQL, Spark",1.0,0.2,0.125,5.0,"CI/CD, Flask, Git, GraphQL, Spark Azure, CI/CD, Kubernetes, Node.js, Power BI, PyTorch, Python, TypeScript"
FIT0074,"ETL, GCP, Power BI, Python, SQL, Scikit-learn, Tableau, TensorFlow","Airflow, Git, Node.js, Python, REST, React, SQL, Tableau",No Degree,1.6,3.0,0,0.498,,0.0,0.375,0.375,8.0,"ETL, GCP, Power BI, Python, SQL, Scikit-learn, Tableau, TensorFlow Airflow, Git, Node.js, Python, REST, React, SQL, Tableau"
FIT0075,"CI/CD, Docker, Git, Linux, React, Scikit-learn","CI/CD, ETL, Excel, GCP, JavaScript, Linux, SQL, Scikit-learn, Tableau",No Degree,2.3,3.0,0,0.519,"Docker, Git, React",0.0,0.5,0.3333333333333333,6.0,"CI/CD, Docker, Git, Linux, React, Scikit-learn CI/CD, ETL, Excel, GCP, JavaScript, Linux, SQL, Scikit-learn, Tableau"
